id,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,qt1,qt2,qt3,qt4,qt5,qt6,qt7,qt8,qt9,qt10,qt11,qt12,qt13,qt14,qt15,qt16,qt17,qt18,qt19,qt20,qt21,qt22,qt23,qt24,qt25,qt26,qt27,qt28,qt29,qt30,comment,addip,addtime
52,是,两手都会,有,支持,左手,被纠正过来,我是自豪的,有点创新,兴趣,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/11
53,是,会,有,支持,左手,一直会,我是自豪的,有点创新,兴趣,我的亲戚有的是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/11
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/11
55,是,一点不会,有,支持,左手,被纠正过来,喜忧参半,"有点创新, 想法经常和别人不同",兴趣,有朋友是,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/11
56,是,一点不会,有,无所谓,左手,被纠正过来,我是幸福的,没感觉到,不会,我的亲戚有的是,和家长沟通，看他们的态度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/11
57,不是,会,有,纠正,两手俱利,只会用手,喜忧参半,没感觉到,好奇,有朋友是,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/11
58,不是,会,有,纠正,两手俱利,只会用手,喜忧参半,没感觉到,好奇,有朋友是,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/11
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/11
60,是,一点不会,有,无所谓,左手,被纠正过来,我是幸福的,没感觉到,不会,有朋友是,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/11
61,不是,一点不会,没有,无所谓,右手,只会用手,"我是幸福的, 喜忧参半, 我是自豪的, 有时比较痛苦","有点创新, 想法经常和别人不同",不会,,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/11
62,是,一点不会,有,无所谓,左手,被纠正过来,我是幸福的,没感觉到,保留，我已经习惯原来的,有朋友是,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/11
63,是,会点,有,无所谓,左手,被纠正过来,有时比较痛苦,没感觉到,不会,"家人是，我不是, 我的亲戚有的是",和家长沟通，看他们的态度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/12
64,是,一点不会,有,纠正,左手,只会用手,我是自豪的,没感觉到,好奇,我的亲戚有的是,和家长沟通，看他们的态度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/12
65,是,会点,有,纠正,右手,被纠正过来,我是幸福的,不管聪明否，至少在人生激励着我,不会,有朋友是,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/12
66,不是,会点,有,支持,左手,被纠正过来,有时比较痛苦,没感觉到,兴趣,家里有左撇子,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/8/12
67,是,一点不会,有,无所谓,右手,被纠正过来,喜忧参半,不管聪明否，至少在人生激励着我,不会,我的亲戚有的是,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/12
68,是,一点不会,没有关心过,无所谓,左手,只会用手,我是幸福的,没感觉到,兴趣,有朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/12
69,是,会点,有,无所谓,左手,被纠正过来,有时比较痛苦,没感觉到,兴趣,有朋友是,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/12
70,是,会,有,支持,左手,一直会,喜忧参半,没感觉到,好奇,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/12
71,不是,会,有,支持,右手,一直会,我是幸福的,不管聪明否，至少在人生激励着我,好奇,我的亲戚有的是,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/12
72,不是,会点,有,无所谓,两手俱利,,喜忧参半,没感觉到,保留，我已经习惯原来的,有朋友是,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/12
73,是,一点不会,有,支持,两手俱利,被纠正过来,我是幸福的,想法经常和别人不同,兴趣,家里有左撇子,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/12
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/12
75,是,一点不会,没有,无所谓,左手,被纠正过来,有时比较痛苦,不管聪明否，至少在人生激励着我,兴趣,家里有左撇子,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/12
76,是,会点,有,支持,两手俱利,一直会,我是自豪的,有点创新,,我的亲戚有的是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/12
77,是,一点不会,有,无所谓,左手,被纠正过来,喜忧参半,没感觉到,兴趣,我的亲戚有的是,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/12
78,是,一点不会,有,无所谓,左手,只会用手,我是自豪的,有点创新,好奇,有朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/12
79,是,会,有,无所谓,左手,被纠正过来,我是幸福的,没感觉到,保留，我已经习惯原来的,我的亲戚有的是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/13
80,是,会,不知道,支持,两手俱利,一直会,我是幸福的,不管聪明否，至少在人生激励着我,兴趣,有朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/13
81,是,会点,有,支持,左手,被纠正过来,我是幸福的,不管聪明否，至少在人生激励着我,兴趣,"家里有左撇子, 我的亲戚有的是, 有朋友是",支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/13
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/13
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/14
84,是,会点,有,支持,左手,被纠正过来,我是自豪的,不管聪明否，至少在人生激励着我,好奇,"家里有左撇子, 我的亲戚有的是, 有朋友是",支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/14
85,是,会,有,支持,两手俱利,一直会,我是自豪的,"想法经常和别人不同, 不管聪明否，至少在人生激励着我",不会,有朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/15
86,是,两手都会,有,支持,左手,一直会,有时比较痛苦,"想法经常和别人不同, 不管聪明否，至少在人生激励着我",兴趣,有朋友是,"观察一段时间后，让孩子自己来决定, 支持孩子，因为世界存在差异性",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/16
87,是,会,有,支持,左手,有点,有时比较痛苦,想法经常和别人不同,兴趣,有朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/23
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/24
89,是,会点,有,支持,两手俱利,被纠正过来,我是幸福的,没感觉到,好奇,有朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/8/25
90,是,两手都会,有,支持,左手,被纠正过来,我是幸福的,有点创新,兴趣,家里有左撇子,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/9/2
91,是,两手都会,有,支持,左手,有点,"喜忧参半, 我是自豪的","没感觉到, 想法经常和别人不同",兴趣,"我的亲戚有的是, 有朋友是","观察一段时间后，让孩子自己来决定, 支持孩子，因为世界存在差异性",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/9/13
92,是,会点,有,支持,两手俱利,有点,我是幸福的,不管聪明否，至少在人生激励着我,兴趣,我的亲戚有的是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/9/14
93,是,两手都会,有,支持,两手俱利,一直会,喜忧参半,想法经常和别人不同,兴趣,有朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/9/14
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/9/14
95,是,会点,没有,支持,左手,一直会,"我是幸福的, 我是自豪的","没感觉到, 不管聪明否，至少在人生激励着我",好奇,家里有左撇子,"观察一段时间后，让孩子自己来决定, 支持孩子，因为世界存在差异性",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/9/14
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/9/16
97,其他,两手都会,不知道,支持,两手俱利,只会用手,我是幸福的,不管聪明否，至少在人生激励着我,好奇,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/10/12
98,是,会点,没有,支持,右手,一直会,"我是幸福的, 我是自豪的",不管聪明否，至少在人生激励着我,好奇,有朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/10/21
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/10/22
100,是,会点,有,支持,左手,被纠正过来,喜忧参半,想法经常和别人不同,兴趣,我的亲戚有的是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/10/22
101,是,会,有,支持,左手,一直会,我是幸福的,想法经常和别人不同,兴趣,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/11/2
102,是,一点不会,有,支持,左手,被纠正过来,喜忧参半,不管聪明否，至少在人生激励着我,兴趣,有朋友是,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.123.16.120,2013/11/7
103,是,会,没有,支持,左手,一直会,有时比较痛苦,不管聪明否，至少在人生激励着我,保留，我已经习惯原来的,我的亲戚有的是,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/11/9
104,是,会,有,不好说,左手,有点,喜忧参半,不管聪明否，至少在人生激励着我,兴趣,我的亲戚有的是,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/11/13
105,是,会,没有,无所谓,左手,一直会,我是自豪的,没感觉到,保留，我已经习惯原来的,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/11/15
106,不知道,会点,有,支持,左手,被纠正过来,有时比较痛苦,不管聪明否，至少在人生激励着我,兴趣,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/11/20
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/11/20
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/11/20
109,不知道,会点,没有,支持,左手,有点,我是幸福的,想法经常和别人不同,兴趣,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/11/24
110,是,一点不会,不知道,无所谓,右手,被纠正过来,我是幸福的,不管聪明否，至少在人生激励着我,兴趣,有朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/11/26
111,不是,会,有,支持,右手,有点,我是幸福的,没感觉到,好奇,家里有左撇子,"和家长沟通，看他们的态度, 支持孩子，因为世界存在差异性",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/11/26
112,是,会,有,不好说,左手,有点,喜忧参半,不管聪明否，至少在人生激励着我,兴趣,家里有左撇子,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/11/27
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/11/27
114,不知道,会点,没有,支持,不知道,被纠正过来,我是自豪的,想法经常和别人不同,保留，我已经习惯原来的,有朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/12/1
115,不知道,会点,没有,支持,不知道,被纠正过来,我是自豪的,想法经常和别人不同,保留，我已经习惯原来的,有朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/12/1
116,不知道,会点,没有,支持,不知道,被纠正过来,我是自豪的,想法经常和别人不同,保留，我已经习惯原来的,有朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/12/1
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/12/1
118,不是,会点,有,支持,右手,,,不管聪明否，至少在人生激励着我,好奇,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/12/4
119,是,会点,有,支持,左手,有点,"我是幸福的, 我是自豪的",不管聪明否，至少在人生激励着我,好奇,"我的亲戚有的是, 有朋友是",支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/12/18
120,是,会点,有,支持,左手,被纠正过来,"喜忧参半, 我是自豪的","没感觉到, 想法经常和别人不同",兴趣,有朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/12/28
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2013/12/31
122,是,会点,有,支持,左手,被纠正过来,我是自豪的,有点创新,兴趣,我的亲戚有的是,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/1/7
123,是,一点不会,有,支持,左手,一直会,我是自豪的,没感觉到,兴趣,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/1/15
124,是,一点不会,有,支持,左手,一直会,我是自豪的,没感觉到,兴趣,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/1/15
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/1/23
126,是,会点,有,无所谓,左手,被纠正过来,我是幸福的,没感觉到,保留，我已经习惯原来的,我的亲戚有的是,和家长沟通，看他们的态度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/1/23
127,是,会点,有,支持,左手,被纠正过来,我是自豪的,不管聪明否，至少在人生激励着我,兴趣,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/1/24
128,是,两手都会,没有,支持,左手,被纠正过来,"我是幸福的, 我是自豪的",不管聪明否，至少在人生激励着我,兴趣,我的亲戚有的是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/1/25
129,不是,会点,有,支持,右手,只会用手,我是自豪的,有点创新,好奇,有朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/1/26
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/2/7
131,是,一点不会,没有,支持,左手,被纠正过来,喜忧参半,有点创新,好奇,有朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/2/10
132,不知道,两手都会,有,支持,两手俱利,有点,我是自豪的,不管聪明否，至少在人生激励着我,保留，我已经习惯原来的,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/2/13
133,是,会,有,支持,左手,一直会,我是自豪的,不管聪明否，至少在人生激励着我,兴趣,"家里有左撇子, 我的亲戚有的是",观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/2/16
134,是,会点,有,支持,两手俱利,被纠正过来,我是幸福的,不管聪明否，至少在人生激励着我,兴趣,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/2/26
135,是,会点,有,支持,左手,被纠正过来,我是自豪的,想法经常和别人不同,保留，我已经习惯原来的,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/3/3
136,是,会点,有,无所谓,左手,有点,我是幸福的,没感觉到,兴趣,家里有左撇子,和家长沟通，看他们的态度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/3/4
137,是,两手都会,有,支持,左手,一直会,有时比较痛苦,想法经常和别人不同,兴趣,"家里有左撇子, 有朋友是","观察一段时间后，让孩子自己来决定, 支持孩子，因为世界存在差异性",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/3/7
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/3/7
139,不知道,两手都会,没有关心过,支持,两手俱利,一直会,我是幸福的,不管聪明否，至少在人生激励着我,兴趣,有朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/3/8
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/3/16
141,是,会点,有,支持,左手,被纠正过来,我是自豪的,想法经常和别人不同,好奇,我的亲戚有的是,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/3/16
142,是,会,有,支持,左手,只会用手,我是幸福的,没感觉到,兴趣,家里有左撇子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/3/21
143,是,一点不会,有,无所谓,左手,一直会,喜忧参半,没感觉到,兴趣,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/3/21
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/3/21
145,是,会点,有,无所谓,左手,被纠正过来,我是幸福的,有点创新,好奇,"家里有左撇子, 有朋友是",支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/3/23
146,不是,会,有,无所谓,左手,有点,喜忧参半,没感觉到,好奇,有朋友是,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/3/29
